candidate,dataset_period,ym,trades,pnl_pts,exp_pts,exp_sg
PREFADE-F,NAS100_VAL,2018-04,4,29.38064889427733,7.345162223569332,0.5568657720878118
PREFADE-F,NAS100_VAL,2018-05,7,25.689399781585053,3.6699142545121504,0.4467321086587435
PREFADE-F,NAS100_VAL,2018-06,4,-69.78716499967777,-17.446791249919443,-2.499999999999977
PREFADE-F,NAS100_VAL,2018-07,3,1.6044489309606433,0.5348163103202145,0.2156347707070818
PREFADE-F,NAS100_VAL,2018-08,3,27.378420420224757,9.126140140074918,1.3824480652323032
PREFADE-F,NAS100_VAL,2018-09,2,-41.19479020753079,-20.597395103765393,-2.4999999999999583
PREFADE-F,NAS100_VAL,2018-10,1,-29.86725192308768,-29.86725192308768,-2.4999999999999942
PREFADE-F,NAS100_VAL,2018-11,2,-21.30806577475505,-10.654032887377525,-0.5938083017269606
PREFADE-F,NAS100_VAL,2018-12,3,-11.293248666510408,-3.764416222170136,0.256304826961592
PREFADE-F,NAS100_vault_2019_20,2019-01,3,-36.52352915947449,-12.174509719824831,-1.1064256700171409
PREFADE-F,NAS100_vault_2019_20,2019-02,2,29.533536486151206,14.766768243075603,1.5304954429372641
PREFADE-F,NAS100_vault_2019_20,2019-03,4,-29.600328855010957,-7.400082213752739,-0.5014954956616725
PREFADE-F,NAS100_vault_2019_20,2019-04,6,-13.055287234279604,-2.1758812057132673,-0.42958696508626576
PREFADE-F,NAS100_vault_2019_20,2019-05,2,54.977705147752204,27.488852573876102,1.2265738738756164
PREFADE-F,NAS100_vault_2019_20,2019-06,1,-69.27674921338257,-69.27674921338257,-2.4999999999999907
PREFADE-F,NAS100_vault_2019_20,2019-07,3,-26.751358637259727,-8.917119545753243,-1.176485454200564
PREFADE-F,NAS100_vault_2019_20,2019-08,5,-52.433735337521284,-10.486747067504258,-0.37737966796815814
PREFADE-F,NAS100_vault_2019_20,2019-09,3,2.4830048650819663,0.8276682883606554,0.3549342223580925
PREFADE-F,NAS100_vault_2019_20,2019-10,5,-42.92999565935588,-8.585999131871176,-0.8949394180686274
PREFADE-F,NAS100_vault_2019_20,2019-11,3,12.247954197537183,4.082651399179061,0.3148276751833062
PREFADE-F,NAS100_vault_2019_20,2019-12,5,-51.33183906541308,-10.266367813082615,-1.6184415164473365
PREFADE-F,NAS100_vault_2019_20,2020-01,2,27.19961007269194,13.59980503634597,1.5473962149748939
PREFADE-F,NAS100_vault_2019_20,2020-02,3,-91.78334001499934,-30.594446671666446,-1.2286533592952897
PREFADE-F,NAS100_vault_2019_20,2020-03,4,381.8126179294122,95.45315448235306,1.2326887730471914
PREFADE-F,NAS100_vault_2019_20,2020-04,5,45.68636263332155,9.13727252666431,-0.07587074714254331
PREFADE-F,SPX500_2026,2026-03,4,-73.4110727200432,-18.3527681800108,-1.35576103736472
PREFADE-F,SPX500_2026,2026-04,6,-4.489966992127847,-0.7483278320213079,-0.7270151375047901
PREFADE-F,SPX500_2026,2026-05,3,9.152319636160428,3.050773212053476,0.3708653813347443
PREFADE-F,SPX500_2026,2026-06,6,35.92794733122901,5.987991221871501,0.9364278099801969
PREFADE-F,SPX500_2026,2026-07,4,-38.358875383676605,-9.589718845919151,-1.3974763275937452
PREFADE-F,SPX500_2026,2026-08,11,0.2157894664005653,0.01961722421823321,0.032499130781720016
PREFADE-F,SPX500_2026,2026-09,4,2.432155864251399,0.6080389660628498,0.22360239955022207
PREFADE-F,SPX500_TRAIN,2005-01,6,3.22008860955043,0.5366814349250717,0.6179898181656343
PREFADE-F,SPX500_TRAIN,2005-02,10,1.3265935013303078,0.1326593501330308,0.09692371530872546
PREFADE-F,SPX500_TRAIN,2005-03,9,0.7954706627206178,0.08838562919117976,0.16097572497118617
PREFADE-F,SPX500_TRAIN,2005-04,7,6.3147434447207615,0.9021062063886802,0.8296263679536239
PREFADE-F,SPX500_TRAIN,2005-05,5,-1.5107087236915504,-0.30214174473831007,-0.45853379895772106
PREFADE-F,SPX500_TRAIN,2005-06,11,2.10191806523585,0.19108346047598637,0.23074765998898908
PREFADE-F,SPX500_TRAIN,2005-07,5,0.010071811957004684,0.002014362391400937,-0.268779487420525
PREFADE-F,SPX500_TRAIN,2005-08,8,-7.798087355775124,-0.9747609194718905,-0.5052538773593602
PREFADE-F,SPX500_TRAIN,2005-09,6,5.887448528842924,0.9812414214738207,1.3933165497961755
PREFADE-F,SPX500_TRAIN,2005-10,9,-5.72002751229661,-0.6355586124774012,-0.48362884413232266
PREFADE-F,SPX500_TRAIN,2005-11,14,1.2647414942323394,0.09033867815945282,0.41854402780960054
PREFADE-F,SPX500_TRAIN,2005-12,11,-1.3536915877700721,-0.1230628716154611,-0.14518246406447566
PREFADE-F,SPX500_TRAIN,2006-01,6,3.796946568718795,0.6328244281197991,0.7646793716190503
PREFADE-F,SPX500_TRAIN,2006-02,8,6.501897873238931,0.8127372341548664,0.9727623856837055
PREFADE-F,SPX500_TRAIN,2006-03,10,7.946119299737575,0.7946119299737575,1.4125904089634707
PREFADE-F,SPX500_TRAIN,2006-04,12,-0.17102670163376388,-0.01425222513614699,-0.19195261182562431
PREFADE-F,SPX500_TRAIN,2006-05,5,0.7607942545521382,0.15215885091042763,-0.11272845142704457
PREFADE-F,SPX500_TRAIN,2006-06,4,2.7178876463303823,0.6794719115825956,0.5379228911962916
PREFADE-F,SPX500_TRAIN,2006-07,14,0.7011144817608965,0.05007960584006404,0.11121026430413876
PREFADE-F,SPX500_TRAIN,2006-08,12,-3.5405678925558277,-0.2950473243796523,-0.26370581719905634
PREFADE-F,SPX500_TRAIN,2006-09,8,-1.3660801653225008,-0.1707600206653126,-0.31499057142274134
PREFADE-F,SPX500_TRAIN,2006-10,13,7.409111074028715,0.5699316210791319,0.9060578478992365
PREFADE-F,SPX500_TRAIN,2006-11,7,4.586295466655201,0.6551850666650287,0.776242545429666
