time,D1,D2
2019-02-03,0.32,0.55
2019-02-10,0.32,0.55
2019-02-17,0.32,0.55
2019-02-24,0.32,0.55
2019-03-03,0.32,0.55
2019-03-10,0.32,0.55
2019-03-17,0.32,0.55
2019-03-24,0.32,0.55
2019-03-31,0.32,0.55
2019-04-07,0.32,0.55
2019-04-14,0.32,0.55
2019-04-21,0.32,0.55
2019-04-28,0.32,0.55
2019-05-05,0.32,0.55
2019-05-12,0.32,0.55
2019-05-19,0.32,0.55
2019-05-26,0.32,0.55
2019-06-02,0.32,0.55
2019-06-09,0.32,0.55
2019-06-16,0.32,0.55
2019-06-23,0.32,0.55
2019-06-30,0.32,0.55
2019-07-07,0.32,0.55
2019-07-14,0.32,0.55
2019-07-21,0.32,0.55
2019-07-28,0.32,0.55
2019-08-04,0.32,0.55
2019-08-11,0.32,0.55
2019-08-18,0.32,0.55
2019-08-25,0.32,0.55
2019-09-01,0.32,0.55
2019-09-08,0.32,0.55
2019-09-15,0.32,0.55
2019-09-22,0.32,0.55
2019-09-29,0.32,0.55
2019-10-06,0.32,0.55
2019-10-13,0.32,0.55
2019-10-20,0.32,0.55
2019-10-27,0.32,0.55
2019-11-03,0.32,0.55
2019-11-10,0.32,0.55
2019-11-17,0.32,0.55
2019-11-24,0.32,0.55
2019-12-01,0.32,0.55
2019-12-08,0.32,0.55
2019-12-15,0.32,0.55
2019-12-22,0.30624079189699266,0.55
2019-12-29,0.30612140044119657,0.55
2020-01-05,0.30266925158216007,0.55
2020-01-12,0.30345348591773025,0.55
2020-01-19,0.3028447718926458,0.55
2020-01-26,0.29938296616875304,0.55
2020-02-02,0.2868848388046924,0.55
2020-02-09,0.2891544219303885,0.55
2020-02-16,0.28040699258890217,0.55
2020-02-23,0.27970660089746735,0.55
2020-03-01,0.2871289947766615,0.55
2020-03-08,0.2836827067407446,0.55
2020-03-15,0.32,0.55
2020-03-22,0.32,0.55
2020-03-29,0.32,0.55
2020-04-05,0.32,0.55
2020-04-12,0.32,0.55
2020-04-19,0.32,0.55
2020-04-26,0.32,0.55
2020-05-03,0.32,0.55
2020-05-10,0.32,0.55
2020-05-17,0.32,0.55
2020-05-24,0.32,0.55
2020-05-31,0.32,0.55
2020-06-07,0.32,0.55
2020-06-14,0.32,0.55
2020-06-21,0.32,0.55
2020-06-28,0.32,0.55
2020-07-05,0.32,0.55
2020-07-12,0.32,0.55
2020-07-19,0.32,0.55
2020-07-26,0.32,0.55
2020-08-02,0.32,0.55
2020-08-09,0.32,0.55
2020-08-16,0.32,0.55
2020-08-23,0.32,0.55
2020-08-30,0.31374629016527855,0.55
2020-09-06,0.3179835228180434,0.55
2020-09-13,0.25205717912387937,0.5041143582477587
2020-09-20,0.2509916244592313,0.5019832489184626
2020-09-27,0.25164223185322715,0.5032844637064543
2020-10-04,0.24505695733373412,0.49011391466746823
2020-10-11,0.24605510438464406,0.4921102087692881
2020-10-18,0.2460055753865346,0.4920111507730692
2020-10-25,0.25137489672644525,0.5027497934528905
2020-11-01,0.24390888118113457,0.48781776236226915
2020-11-08,0.24921074609218863,0.49842149218437726
2020-11-15,0.2442177634142563,0.4884355268285126
2020-11-22,0.23624557295627044,0.4724911459125409
2020-11-29,0.23631259092074872,0.47262518184149743
2020-12-06,0.23506031163381727,0.47012062326763454
2020-12-13,0.23222210223137205,0.4644442044627441
2020-12-20,0.24597146820079493,0.49194293640158987
2020-12-27,0.2477989982437515,0.495597996487503
2021-01-03,0.2645328354849181,0.5290656709698363
2021-01-10,0.26630385158915076,0.5326077031783015
2021-01-17,0.27038187329501556,0.5407637465900311
2021-01-24,0.28099878681776896,0.55
2021-01-31,0.27925784523979036,0.55
2021-02-07,0.2854597815861768,0.55
2021-02-14,0.29815512413052925,0.55
2021-02-21,0.3012000844801364,0.55
2021-02-28,0.32,0.55
2021-03-07,0.32,0.55
2021-03-14,0.32,0.55
2021-03-21,0.32,0.55
2021-03-28,0.32,0.55
2021-04-04,0.32,0.55
2021-04-11,0.32,0.55
2021-04-18,0.32,0.55
2021-04-25,0.32,0.55
2021-05-02,0.32,0.55
2021-05-09,0.32,0.55
2021-05-16,0.32,0.55
2021-05-23,0.32,0.55
2021-05-30,0.32,0.55
2021-06-06,0.32,0.55
2021-06-13,0.32,0.55
2021-06-20,0.32,0.55
2021-06-27,0.32,0.55
2021-07-04,0.32,0.55
2021-07-11,0.32,0.55
2021-07-18,0.32,0.55
2021-07-25,0.32,0.55
2021-08-01,0.32,0.55
2021-08-08,0.32,0.55
2021-08-15,0.32,0.55
2021-08-22,0.32,0.55
2021-08-29,0.32,0.55
2021-09-05,0.32,0.55
2021-09-12,0.31975793150004683,0.55
2021-09-19,0.31960808334658697,0.55
2021-09-26,0.3182951768280433,0.55
2021-10-03,0.32,0.55
2021-10-10,0.32,0.55
2021-10-17,0.32,0.55
2021-10-24,0.32,0.55
2021-10-31,0.3178445830943831,0.55
2021-11-07,0.31769315079183646,0.55
2021-11-14,0.2986716604728344,0.55
2021-11-21,0.26808653972710494,0.5361730794542099
2021-11-28,0.2691448204962108,0.5382896409924216
2021-12-05,0.2817797474434496,0.55
2021-12-12,0.27924051496360186,0.55
2021-12-19,0.2781825633641218,0.55
2021-12-26,0.27942348569524317,0.55
2022-01-02,0.28254843507248223,0.55
2022-01-09,0.28920957132296915,0.55
2022-01-16,0.28644771029563587,0.55
2022-01-23,0.29730951044532083,0.55
2022-01-30,0.2918495686753085,0.55
2022-02-06,0.29315828688481904,0.55
2022-02-13,0.29128976705728643,0.55
2022-02-20,0.29348294238418493,0.55
2022-02-27,0.2916365050155629,0.55
2022-03-06,0.2900643553542376,0.55
2022-03-13,0.2723313853785592,0.5446627707571184
2022-03-20,0.27536619344536134,0.55
2022-03-27,0.2790253632265672,0.55
2022-04-03,0.2735643149883981,0.5471286299767962
2022-04-10,0.27093909691379087,0.5418781938275817
2022-04-17,0.26581243877054955,0.5316248775410991
2022-04-24,0.2656414516829691,0.5312829033659382
2022-05-01,0.2641880729672729,0.5283761459345458
2022-05-08,0.268635033692696,0.537270067385392
2022-05-15,0.2689856500511005,0.537971300102201
2022-05-22,0.266325590525962,0.532651181051924
2022-05-29,0.2662018128235962,0.5324036256471923
2022-06-05,0.26032510507322565,0.5206502101464513
2022-06-12,0.26373129953762736,0.5274625990752547
2022-06-19,0.2906350104593895,0.55
2022-06-26,0.28744087785716094,0.55
2022-07-03,0.288710046257536,0.55
2022-07-10,0.29019198952124714,0.55
2022-07-17,0.2892861438885598,0.55
2022-07-24,0.28537579568774396,0.55
2022-07-31,0.2839957311836683,0.55
2022-08-07,0.27768223238551043,0.55
2022-08-14,0.2795781252968882,0.55
2022-08-21,0.28258645164755114,0.55
2022-08-28,0.2849433400039214,0.55
2022-09-04,0.28341008124072814,0.55
2022-09-11,0.2880288653468597,0.55
2022-09-18,0.28700546389740067,0.55
2022-09-25,0.27800461665863113,0.55
2022-10-02,0.27852969606142025,0.55
2022-10-09,0.2779145432757357,0.55
