n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
1169,0.829546785661029,0.13344586799379166,1.2058471558906219,1.4015663115522348,0.5372112917023096,8,10,0.5,5,2.0,300,"(450, 810)"
859,0.8343475762698043,0.10943077794948337,1.1892140111937515,1.2696666883642302,0.5273573923166472,7,10,0.5,5,2.0,300,"(570, 810)"
593,0.6702873430748064,0.12499502698096931,1.1585519868338834,1.0670020774361741,0.5345699831365935,7,10,0.5,5,2.0,300,"(570, 690)"
1477,0.5933185288936491,0.10466428244943458,1.1601296787715154,1.0916616650758502,0.5626269465132024,7,10,0.5,5,2.5,180,"(240, 810)"
1131,0.745964555065343,0.12004592477677341,1.1845402125698736,1.2088754655418539,0.5676392572944297,7,10,0.5,5,2.5,180,"(450, 810)"
833,0.797251528723755,0.10644520948996462,1.1851920954156288,1.1850331192422028,0.553421368547419,7,10,0.5,5,2.5,180,"(570, 810)"
577,0.5904921052143539,0.11979305928059593,1.1417819831234217,0.9259293010282049,0.5545927209705372,7,10,0.5,5,2.5,180,"(570, 690)"
1473,0.5258354289285512,0.09681080825825954,1.1319432955567887,0.9235653539397761,0.5750169721656483,7,10,0.5,5,2.5,240,"(240, 810)"
1131,0.6342192897951223,0.10714145104791863,1.1471603456061117,0.985989473912951,0.5738284703801945,6,10,0.5,5,2.5,240,"(450, 810)"
833,0.6253755747017309,0.08643348590037288,1.133652162612245,0.8830640545518946,0.56062424969988,7,10,0.5,5,2.5,240,"(570, 810)"
577,0.49226731753023917,0.10836957798425782,1.110219714082033,0.7339268358983062,0.5736568457538995,7,10,0.5,5,2.5,240,"(570, 690)"
1473,0.5251872186024853,0.09623315446308904,1.1282909001733377,0.9042037462154959,0.5790902919212492,7,10,0.5,5,2.5,300,"(240, 810)"
1131,0.6455505824947104,0.11002088394124025,1.1468330156089976,0.9887254878908579,0.5755968169761273,6,10,0.5,5,2.5,300,"(450, 810)"
833,0.6336263113339108,0.08961919716579488,1.1322118002580235,0.8791060597820133,0.5618247298919568,6,10,0.5,5,2.5,300,"(570, 810)"
577,0.4261852995552211,0.0992372907548104,1.091652732856083,0.6187659038438699,0.5701906412478336,7,10,0.5,5,2.5,300,"(570, 690)"
1447,0.5722925066253236,0.0862548126413234,1.1494248730784198,1.0010033960930689,0.585348997926745,8,10,0.5,5,3.0,180,"(240, 810)"
1111,0.7128517272650847,0.09692658355239911,1.1709356333527237,1.1067339145232216,0.5904590459045904,7,10,0.5,5,3.0,180,"(450, 810)"
821,0.8212544830707671,0.10697574567321379,1.1869222598440994,1.1695388043888821,0.5773447015834349,7,10,0.5,5,3.0,180,"(570, 810)"
572,0.6194443240169938,0.13414670054218275,1.1460651501575838,0.9359383660033135,0.5821678321678322,7,10,0.5,5,3.0,180,"(570, 690)"
1441,0.547277173086207,0.09255343284048319,1.133836625201754,0.9131373704290917,0.6051353226925746,6,10,0.5,5,3.0,240,"(240, 810)"
1111,0.6410313071605318,0.09275122577098194,1.144938662411882,0.9569531958947567,0.5985598559855986,7,10,0.5,5,3.0,240,"(450, 810)"
821,0.693458680279164,0.09664022572028384,1.1461336655235395,0.9406692412654365,0.587088915956151,6,10,0.5,5,3.0,240,"(570, 810)"
572,0.6337089124531331,0.14594375223707087,1.142586402703201,0.9245786638658047,0.6048951048951049,7,10,0.5,5,3.0,240,"(570, 690)"
1440,0.466058151964717,0.07871072693138753,1.10909390500427,0.7561798058245653,0.6111111111111112,6,10,0.5,5,3.0,300,"(240, 810)"
1111,0.5996016889408697,0.08883721134932172,1.131507018678683,0.8764586720996957,0.6048604860486049,7,10,0.5,5,3.0,300,"(450, 810)"
821,0.6188629094927838,0.08812645205977415,1.1254986004056051,0.8183791460788149,0.5931790499390986,6,10,0.5,5,3.0,300,"(570, 810)"
572,0.46764341631914985,0.12094684550955301,1.0990670981431345,0.6571060154524733,0.6083916083916084,7,10,0.5,5,3.0,300,"(570, 690)"
3915,0.48918258337538356,0.092474062562145,1.1646310477732602,1.335839912552003,0.5195402298850574,9,10,0.75,3,2.0,180,"(240, 810)"
2982,0.6182727290620649,0.12940010383789297,1.1928226059315847,1.4406073899742324,0.5308517773306506,9,10,0.75,3,2.0,180,"(450, 810)"
2271,0.5482275766675082,0.10221470225679075,1.158641798304654,1.1404707544161745,0.5195948921180097,9,10,0.75,3,2.0,180,"(570, 810)"
1743,0.3060734512768633,0.08800805813310454,1.0902124426112363,0.6632139792608963,0.5129087779690189,7,10,0.75,3,2.0,180,"(570, 690)"
3909,0.48466480383305993,0.0951287710342009,1.1564015165730017,1.283895976213273,0.5254540803274494,9,10,0.75,3,2.0,240,"(240, 810)"
2981,0.5762695105161189,0.12388549242923601,1.1725290955177186,1.3060272630050695,0.5320362294532036,9,10,0.75,3,2.0,240,"(450, 810)"
