n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
2864,0.26038987883178044,0.11601290265180313,1.129808184956329,0.9567166099531281,0.6141759776536313,7,10,0.5,3,3.0,300,"(240, 810)"
2102,0.323855195389598,0.1490571080122874,1.1508167295448248,1.032026403878197,0.6132254995242626,8,10,0.5,3,3.0,300,"(450, 810)"
1524,0.17335407921110518,0.08443873731433837,1.0734959426427981,0.4738825907425331,0.5885826771653543,6,10,0.5,3,3.0,300,"(570, 810)"
1120,0.1091445454056127,0.12110813797195008,1.0472028981855301,0.30133107513928764,0.6053571428571428,5,10,0.5,3,3.0,300,"(570, 690)"
1907,0.49637390234930956,0.1724451357741655,1.2715588496259218,1.8383946613290312,0.5332983744100682,8,10,0.5,4,2.0,180,"(240, 810)"
1438,0.5729822674348317,0.19475916653875844,1.2911241368237938,1.8565861743136436,0.5382475660639777,8,10,0.5,4,2.0,180,"(450, 810)"
1079,0.31161307375543507,0.11132920584466793,1.1455971715353999,0.9265529039590586,0.5125115848007414,7,10,0.5,4,2.0,180,"(570, 810)"
731,0.22451969214783912,0.13776176173839305,1.107467760925283,0.675100593641677,0.5225718194254446,6,10,0.5,4,2.0,180,"(570, 690)"
1905,0.456975473802549,0.1678509355403593,1.2306759807739587,1.6336295939045613,0.5359580052493438,8,10,0.5,4,2.0,240,"(240, 810)"
1437,0.49543528781993784,0.17682979452403913,1.232895361979879,1.5691863924705036,0.5316631871955463,8,10,0.5,4,2.0,240,"(450, 810)"
1077,0.22324792806745355,0.09209499636180013,1.095508728744144,0.6391093081540608,0.5060352831940576,7,10,0.5,4,2.0,240,"(570, 810)"
731,0.11526955289172207,0.117935572442087,1.0501807083485013,0.3278898629312487,0.521203830369357,6,10,0.5,4,2.0,240,"(570, 690)"
1905,0.41856742063900987,0.1569330254367837,1.203309137649364,1.4621507115275745,0.5364829396325459,8,10,0.5,4,2.0,300,"(240, 810)"
1437,0.46223728514351076,0.16945275889702685,1.2106283272023808,1.4377146771051952,0.5337508698677801,8,10,0.5,4,2.0,300,"(450, 810)"
1077,0.17370567233680204,0.07968416994095408,1.0716466337604906,0.4867373994459437,0.5060352831940576,7,10,0.5,4,2.0,300,"(570, 810)"
731,0.03825738950651395,0.09899532860113434,1.0158695522146468,0.1056652422423553,0.518467852257182,6,10,0.5,4,2.0,300,"(570, 690)"
1847,0.6135624894438194,0.2371436912040205,1.3306514161004963,2.1102011123960147,0.584731997834326,8,10,0.5,4,2.5,180,"(240, 810)"
1397,0.7338047034564777,0.26500659966249557,1.368687483134221,2.1770364795873065,0.5934144595561919,9,10,0.5,4,2.5,180,"(450, 810)"
1048,0.5015492708452571,0.18324408645341891,1.2341111387566142,1.3900073021790469,0.5658396946564885,7,10,0.5,4,2.5,180,"(570, 810)"
714,0.3032600751493273,0.20118990809922868,1.1412605061381538,0.8486621399541541,0.5742296918767507,6,10,0.5,4,2.5,180,"(570, 690)"
1845,0.5462472636330401,0.22378695372538632,1.2657115508531698,1.7917689300499542,0.591869918699187,8,10,0.5,4,2.5,240,"(240, 810)"
1396,0.6274022176452337,0.24137444979974096,1.2865432649831774,1.8063179388582973,0.5888252148997135,8,10,0.5,4,2.5,240,"(450, 810)"
1046,0.37513160630923215,0.15574068927729495,1.156857209661672,0.9888876144542321,0.5621414913957935,7,10,0.5,4,2.5,240,"(570, 810)"
714,0.20177614521557777,0.18695639210057338,1.0851801822798803,0.5309231804952715,0.5770308123249299,6,10,0.5,4,2.5,240,"(570, 690)"
1845,0.47284849577481214,0.20474109081541814,1.2180455827698786,1.4975707732752819,0.5934959349593496,8,10,0.5,4,2.5,300,"(240, 810)"
1396,0.5658069551158783,0.2288074410971231,1.247114366181367,1.5854440704041213,0.5924068767908309,8,10,0.5,4,2.5,300,"(450, 810)"
1046,0.2865064639914804,0.13598326008939757,1.113594568720801,0.7282059001383773,0.5630975143403442,7,10,0.5,4,2.5,300,"(570, 810)"
