level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
2.0,2.5,240,"(480, 570)",vwap,1465,0.25323440346944337,1.1744929396910833,1.0552028261375634,-0.2987655965305567,8,10,0.6477815699658703,-120.84627281063604,0.2783651397143806
2.0,2.5,240,"(480, 570)",l1,1754,0.2228459112085236,1.3492463091666935,1.8098171019940639,-0.32915408879147645,10,10,0.7320410490307868,-60.12639738970665,0.12688583463439365
2.0,3.0,120,"(420, 570)",vwap,1985,0.32466890612807614,1.262945874833079,1.5929091865440268,-0.2273310938719239,10,10,0.6599496221662469,-72.83723787986992,0.1421312493279353
2.0,3.0,120,"(420, 570)",l1,2476,0.23176274061008467,1.3867613084052743,2.0650411044594863,-0.3202372593899154,10,10,0.7269789983844911,-32.68396437950241,0.08642773699339831
2.0,3.0,120,"(450, 570)",vwap,1715,0.3334202185724829,1.2580221072048898,1.510929048271964,-0.21857978142751716,8,10,0.6717201166180758,-102.4011818814929,0.17802766697420228
2.0,3.0,120,"(450, 570)",l1,2114,0.2655657000032955,1.4565035902854422,2.257538598708249,-0.28643429999670456,10,10,0.7350993377483444,-43.21420382944257,0.09789371824548813
2.0,3.0,120,"(480, 570)",vwap,1447,0.33805166787456126,1.2478754008997812,1.4295551911904927,-0.2139483321254388,9,10,0.6738078783690394,-101.40974541914784,0.18467534931364332
2.0,3.0,120,"(480, 570)",l1,1744,0.26634597166895807,1.4478439296478343,2.145050995534013,-0.285654028331042,10,10,0.7362385321100917,-50.727932758102725,0.1067713629281598
2.0,3.0,180,"(420, 570)",vwap,1978,0.3256764201031707,1.2426901634629524,1.470899543547791,-0.22632357989682933,10,10,0.6840242669362993,-82.77869043018836,0.16227144938716132
2.0,3.0,180,"(420, 570)",l1,2476,0.23362767448613972,1.3907903746905441,2.0684575879584988,-0.3183723255138603,10,10,0.7281906300484653,-42.576212631759745,0.08573782722605466
2.0,3.0,180,"(450, 570)",vwap,1715,0.3225320387936874,1.234705425338907,1.3638464183430374,-0.22946796120631263,9,10,0.6880466472303207,-140.95848368003885,0.20742091752018726
2.0,3.0,180,"(450, 570)",l1,2114,0.2597256703123164,1.442027185478602,2.1846596222022123,-0.29227432968768363,10,10,0.7350993377483444,-56.17132843156878,0.1000948954353536
2.0,3.0,180,"(480, 570)",vwap,1447,0.31558682164408264,1.22042291117831,1.2626185584323955,-0.2364131783559174,8,10,0.6855563234277816,-126.99389323220589,0.22614541533213608
2.0,3.0,180,"(480, 570)",l1,1744,0.26039757449691076,1.433506209602478,2.0766800437498416,-0.2916024255030893,10,10,0.7362385321100917,-62.48505736022889,0.10921039668077655
