level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
2.0,2.5,180,"(450, 570)",l1,2152,0.20931736205898,1.1886010028608665,1.0708848749547515,-0.42068263794102,8,10,0.716542750929368,-149.2476832451648,0.14856520750321123
2.0,2.5,180,"(480, 570)",vwap,1532,0.7542162121900606,1.3516042875772423,2.0822610386885407,0.12421621219006063,10,10,0.674934725848564,-113.04945452718812,0.10156199099306804
2.0,2.5,180,"(480, 570)",l1,1801,0.30881628591426846,1.2864310733560083,1.508416316934441,-0.32118371408573154,7,10,0.7268184342032205,-126.87140997686492,0.1140246989551857
2.0,2.5,240,"(420, 570)",vwap,2034,0.5969122742783641,1.2798040625933589,1.8119382930477868,-0.033087725721635874,10,10,0.6588003933136677,-123.20844554715086,0.09385792480967321
2.0,2.5,240,"(420, 570)",l1,2485,0.1650133798928744,1.1464877570409504,0.8758750427901771,-0.4649866201071256,7,10,0.7106639839034206,-168.53692966221206,0.16251872760882943
2.0,2.5,240,"(450, 570)",vwap,1791,0.6528904758113538,1.3082164968686951,1.9049572075935928,0.02289047581135384,10,10,0.6705750977107761,-115.99590570267128,0.09558457187046282
2.0,2.5,240,"(450, 570)",l1,2152,0.20931736205898,1.1886010028608665,1.0708848749547515,-0.42068263794102,8,10,0.716542750929368,-149.2476832451648,0.14856520750321123
2.0,2.5,240,"(480, 570)",vwap,1532,0.7289186897893206,1.3366195866770767,2.000771586517019,0.09891868978932061,10,10,0.6742819843342036,-128.86519549668037,0.10508675552195332
2.0,2.5,240,"(480, 570)",l1,1801,0.30881628591426846,1.2864310733560083,1.508416316934441,-0.32118371408573154,7,10,0.7268184342032205,-126.87140997686492,0.1140246989551857
2.0,3.0,120,"(420, 570)",vwap,1997,0.6388666602787708,1.3142878225426904,1.924668312510901,0.00886666027877081,10,10,0.6770155232849274,-165.93417941666303,0.08760631819883524
2.0,3.0,120,"(420, 570)",l1,2456,0.20223969842959552,1.1856386039872824,1.047745237752352,-0.42776030157040446,7,10,0.7145765472312704,-153.38166769931286,0.13416962159830723
2.0,3.0,120,"(450, 570)",vwap,1759,0.6790665199444139,1.326781756345392,1.9399695315846923,0.04906651994441391,10,10,0.6918703808982376,-139.91644509101752,0.09357192412349333
2.0,3.0,120,"(450, 570)",l1,2128,0.24110416211709107,1.2242175017703036,1.205191448228458,-0.38889583788290893,8,10,0.7208646616541353,-135.7558197290573,0.1304332460503953
2.0,3.0,120,"(480, 570)",vwap,1508,0.8040389322456925,1.3803241857317539,2.1678518916374525,0.17403893224569245,10,10,0.7029177718832891,-98.91807139300681,0.09678485754787991
2.0,3.0,120,"(480, 570)",l1,1784,0.3217790202347364,1.3027353307780853,1.5167813992744659,-0.3082209797652636,7,10,0.7309417040358744,-118.86315335618156,0.11047404795037523
2.0,3.0,180,"(420, 570)",vwap,1988,0.6860950382774748,1.3265959849873177,1.9617335305436927,0.05609503827747475,10,10,0.7022132796780685,-148.62273613358775,0.08194511324249151
2.0,3.0,180,"(420, 570)",l1,2454,0.20510284324832076,1.1889722250765007,1.0597964458659395,-0.4248971567516793,7,10,0.715158924205379,-147.5134777175781,0.13240449437558072
2.0,3.0,180,"(450, 570)",vwap,1759,0.6905778314517453,1.3227551625365026,1.8899600063804491,0.060577831451745334,10,10,0.7083570210346788,-135.0532500943791,0.09201216428489328
2.0,3.0,180,"(450, 570)",l1,2128,0.23660886807816364,1.2191210287592453,1.1754383185257617,-0.3933911319218364,8,10,0.7208646616541353,-138.05581972905748,0.13291132642925327
2.0,3.0,180,"(480, 570)",vwap,1508,0.7981368435793437,1.3690748357774882,2.079663564141438,0.16813684357934366,10,10,0.713527851458886,-117.95867511819961,0.09750056540600327
2.0,3.0,180,"(480, 570)",l1,1784,0.3212701243973373,1.302111908105699,1.5120600727191376,-0.3087298756026627,7,10,0.7309417040358744,-121.16315335618174,0.11064904020416177
2.0,3.0,240,"(420, 570)",vwap,1988,0.6556181551068282,1.3077884285730732,1.8630278014201376,0.02561815510682819,9,10,0.7027162977867203,-161.34981159323297,0.08575439098021656
2.0,3.0,240,"(420, 570)",l1,2454,0.2048583444708147,1.1887044458548224,1.0580637433180446,-0.4251416555291853,7,10,0.715158924205379,-148.113477717578,0.1325625193615523
2.0,3.0,240,"(450, 570)",vwap,1759,0.6746668776216045,1.3130904571950701,1.8387719749318867,0.044666877621604484,8,10,0.7083570210346788,-146.58854418659712,0.09418212600423743
2.0,3.0,240,"(450, 570)",l1,2128,0.23660886807816364,1.2191210287592453,1.1754383185257617,-0.3933911319218364,8,10,0.7208646616541353,-138.05581972905748,0.13291132642925327
2.0,3.0,240,"(480, 570)",vwap,1508,0.7634635227655386,1.3477848587156587,1.9731627767578648,0.13346352276553863,10,10,0.7128647214854111,-126.45119955025075,0.10192863339228214
2.0,3.0,240,"(480, 570)",l1,1784,0.3212701243973373,1.302111908105699,1.5120600727191376,-0.3087298756026627,7,10,0.7309417040358744,-121.16315335618174,0.11064904020416177
2.5,2.0,120,"(420, 570)",vwap,1222,0.5400263142174623,1.2490200692668094,1.6154161714644972,-0.08997368578253773,9,10,0.5450081833060556,-86.52451363742921,0.19761569999113515
2.5,2.0,120,"(420, 570)",l1,1299,0.25211839151820115,1.181272614202307,1.147445266585805,-0.37788160848179886,9,10,0.6597382602001539,-94.00363055194566,0.24778571931460897
2.5,2.0,120,"(450, 570)",vwap,1050,0.6369170570962946,1.2896809813344068,1.846755552017471,0.006917057096294643,8,10,0.5571428571428572,-92.04927348361798,0.19500035168658406
2.5,2.0,120,"(450, 570)",l1,1111,0.28998872272563303,1.2134393795918845,1.3070637155654545,-0.340011277274367,8,10,0.6651665166516652,-98.34000542329522,0.25188063745547146
2.5,2.0,120,"(480, 570)",vwap,860,0.6927206357665444,1.311030655994117,1.9694206308249134,0.06272063576654441,8,10,0.5558139534883721,-95.77099504158514,0.2189026388533302
2.5,2.0,120,"(480, 570)",l1,909,0.3020628369608122,1.2210159573916894,1.3578900351344059,-0.3279371630391878,8,10,0.6600660066006601,-72.71565755150732,0.2955485082248233
2.5,2.0,180,"(420, 570)",vwap,1221,0.522514128830057,1.2277762026687653,1.5017957456476247,-0.10748587116994301,9,10,0.5495495495495496,-81.16054118061334,0.20440610898431405
2.5,2.0,180,"(420, 570)",l1,1299,0.25479408679960475,1.1832070459478135,1.1602048664944746,-0.37520591320039526,9,10,0.6605080831408776,-89.83806676419044,0.2451836217216191
