n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
1634,-31.666326241084107,-0.019379636622450493,0.7417512192607728,0.5312117503059975,4.0846875245253305,-4.669941380586254,0.8746764020435195,0.9911476722895233,0.39238797333616665,2.446361894116404,-21.927664904854172,36.883353005412,-0.14524079705834017,-0.06788208898107935,-0.11755306524247128,-242.46583504328692,-97.70690039050938,543,-0.13060118855685063,8,,,-253.78439005690865,2.0,1.5,120,"(480, 570)"
2220,-339.61212868680127,-0.15297843634540598,0.5184237672052586,0.5180180180180181,3.9491687459527984,-4.561828211712635,0.8656986985641383,0.9304238349053823,0.2729665077282458,2.340283311274139,-27.406458870907844,36.883353005412,-1.3809616901298758,-0.5743787249968997,-0.8678197323057845,-441.862236216047,-246.54767267889645,1555,-0.7685927894520079,8,,,-561.4027755318205,2.0,1.5,180,"(420, 570)"
1933,-270.8229955773518,-0.14010501581859897,0.6408573357870136,0.5256078634247284,3.934896936235435,-4.655047200428085,0.8452968932030541,0.9365557726219225,0.26836217725786526,2.446112251304941,-27.406458870907844,36.883353005412,-1.1679180330565102,-0.5082394639136993,-0.8068237040757147,-364.7654083680913,-163.18722457965734,1433,-0.7424580000306766,9,,,-491.17660792220335,2.0,1.5,180,"(450, 570)"
1634,8.373894758216693,0.005124782593767866,0.7905005051616126,0.5348837209302325,4.1033930218205095,-4.707883692516986,0.8716003388832029,1.0023403897156835,0.3706397173727351,2.381745934819912,-21.927664904854172,36.883353005412,0.038217266475076915,0.017880279430993615,0.03108582050822107,-236.79698279071278,-91.88569570490394,543,0.03536318182575599,8,16.44167157581745,37.00452829128406,-213.74416905760785,2.0,1.5,180,"(480, 570)"
2220,-350.1155839934511,-0.15770972251957255,0.52387323715413,0.5180180180180181,3.9464956786655523,-4.568771602297978,0.8637979794570085,0.9283810059584671,0.27546236047881756,2.3281671141244638,-27.406458870907844,36.883353005412,-1.4235958025604527,-0.592152496210479,-0.8972388788229587,-452.36569152269686,-246.19203760193486,1555,-0.7739658213577784,8,,,-571.9062308384703,2.0,1.5,240,"(420, 570)"
1933,-281.52299557735137,-0.14564045296293396,0.6408573357870136,0.5256078634247284,3.929188274818113,-4.660390711878467,0.8431027606340697,0.9341247598737349,0.2675420510608823,2.4475516079628163,-27.406458870907844,36.883353005412,-1.2138890505428839,-0.5280318287425867,-0.837593553888209,-375.46540836809083,-163.79610729999038,1433,-0.749797422886297,9,,,-501.87660792220316,2.0,1.5,240,"(450, 570)"
1634,-6.126105241782625,-0.0037491464147996483,0.7883775309824114,0.5342717258261934,4.100109394125001,-4.7115921239328635,0.8702173885761899,0.998291432624197,0.3709710938893601,2.3829121527199137,-21.927664904854172,36.883353005412,-0.027951713661324068,-0.013071046047307522,-0.022702737416277343,-236.79698279071278,-94.43533941036699,543,-0.025870706499649034,8,,,-228.24416905760694,2.0,1.5,240,"(480, 570)"
2105,-210.10755330341883,-0.09981356451468827,1.1181284171683457,0.5885985748218527,3.640536009623854,-5.451191303957707,0.6678422764177677,0.9554925871612172,-0.16106566946205786,2.440201343546514,-30.119536998773928,36.883353005412,-0.8201786779130836,-0.3429001866032676,-0.4802881227739827,-345.2397011046616,-161.65157109772923,1566,-0.6085845649591676,6,,,-432.58376034281326,2.0,2.0,120,"(420, 570)"
1838,-87.06457478214126,-0.04736919193805292,1.279019814790554,0.6022850924918389,3.682465707830825,-5.695696461492291,0.6465347535156406,0.9790888811789523,-0.20410785887060715,2.3061078811301816,-29.026886539806018,36.883353005412,-0.3580267245136799,-0.1545458422913204,-0.22669650194220428,-315.0271946166389,-115.8111184405143,720,-0.27637161575237684,6,,,-305.9753603338476,2.0,2.0,120,"(450, 570)"
1568,137.1451448321396,0.08746501583682373,1.3427309814405772,0.6103316326530612,3.8825609782460835,-5.856736025121705,0.6629223105826085,1.0383251247586847,-0.18163989165507094,2.408296136017099,-29.026886539806018,36.883353005412,0.5872151470460462,0.2686622616851859,0.39943310924137676,-230.07257585183095,-91.28712113107258,527,0.596095142258351,7,1.003905953751192,2.1262359323472726,-83.30333513873433,2.0,2.0,120,"(480, 570)"
2101,-79.16135579718981,-0.03767794183588282,1.2582539683331744,0.601142313184198,3.7254399916526264,-5.709298407224889,0.6525215054337029,0.9834542498362372,-0.21223469175089615,2.2167285760965534,-30.119536998773928,36.883353005412,-0.30261822055834653,-0.12678247158839115,-0.1807165907277974,-290.14649556523113,-119.88222136608049,784,-0.27283236918981996,6,,,-301.63756283658375,2.0,2.0,180,"(420, 570)"
1838,-17.6979049543515,-0.009628892793444777,1.37,0.6099020674646355,3.7274650251180272,-5.852421475748481,0.63690987406906,0.9957823833074145,-0.257219096748788,2.207383999453054,-29.026886539806018,36.883353005412,-0.07165521643536374,-0.030987990454114017,-0.04515066671746944,-265.7580136574945,-100.73078104364502,720,-0.06659405942565,6,,,-236.60869050605828,2.0,2.0,180,"(450, 570)"
1568,157.84028637743552,0.10066344794479307,1.37,0.6160714285714286,3.8982313824570527,-5.993108353946973,0.650452344965486,1.0437491116888031,-0.2265931155738563,2.353637803396169,-29.026886539806018,36.883353005412,0.6684312142482325,0.3059388164653985,0.45213856529430585,-208.56236920745175,-86.78358252866465,526,0.7568013682297531,7,0.8722793818038651,1.8474556881617075,-62.60819359343844,2.0,2.0,180,"(480, 570)"
2101,-102.52129356051525,-0.048796427206337575,1.2664058129683964,0.601142313184198,3.72300608240454,-5.733505937514855,0.6493419773134915,0.9786621925381143,-0.22146253895517828,2.2103013300605294,-30.119536998773928,36.883353005412,-0.39098384333025665,-0.16354618446322916,-0.23166902141675783,-290.14649556523113,-125.2527836740302,784,-0.353343208094898,6,,,-324.9975005999092,2.0,2.0,240,"(420, 570)"
1838,-31.827253837756174,-0.017316242566787907,1.37,0.6099020674646355,3.7222910732893033,-5.86403841979786,0.6347658058859742,0.9924302209179596,-0.2595690488563883,2.20402243356359,-29.026886539806018,36.883353005412,-0.12876580565847873,-0.05566148972493292,-0.08099772152961741,-267.22390482199455,-102.91057196682945,720,-0.11910331846604583,6,,,-250.7380393894627,2.0,2.0,240,"(450, 570)"
1568,128.66027989619928,0.08205374993380056,1.37,0.6154336734693877,3.8950482025425006,-6.020002049017105,0.6470177536199428,1.0354430053785155,-0.2348239188391884,2.3412901753645423,-29.026886539806018,36.883353005412,0.5433057249227153,0.24851437587220362,0.36617542422439564,-227.84237568868807,-93.98111040094284,526,0.5646898629252212,7,1.0701113625443148,2.2664565561673458,-91.78820007467488,2.0,2.0,240,"(480, 570)"
1349,-364.18908638771074,-0.26996967115471515,-1.9299999999999544,0.3684210526315789,4.834514361691473,-3.2475853569816593,1.488648897648905,0.868378523628528,1.371150659912772,4.198075086997752,-15.374768499386965,35.21791738691547,-2.073969233704442,-1.022298216818141,-2.0758004440408966,-395.3819635632896,-220.92925725448703,989,-0.9211069799581525,13,,,-579.2359364369674,2.5,1.0,120,"(420, 570)"
1145,-275.90851244639356,-0.24096813314095508,-2.0224328212751788,0.36768558951965064,5.0053506101156655,-3.2916590045650396,1.5206163831593709,0.8842258250139436,1.4296670941474554,4.28453532353851,-14.609883818348754,35.21791738691547,-1.6616127784565615,-0.8893405778345558,-1.9276527340556864,-304.38751188798255,-176.0232304309762,867,-0.9064383447765318,12,,,-490.95536249565015,2.5,1.0,120,"(450, 570)"
