n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
2071,-823.441424937156,-0.3976057097716832,0.3790082948079525,0.5485272815065186,2.179025135555417,-3.52814329297124,0.6176124251802545,0.7503825828928012,-0.09813060041286818,6.263615976427257,-23.063242883154295,31.0823032457105,-4.893151104617837,-2.0095199199195797,-2.7299164020855136,-834.3272430562466,-444.3998133708764,1558,-0.986952579806466,9,,,-989.8876515665454,2.0,2.0,180,"(420, 570)"
1786,-670.8804349381621,-0.37563294229460364,0.43797006908359704,0.5593505039193729,2.1959581663236434,-3.6399525325228494,0.6032930777813263,0.7658065879333483,0.1842814959483199,7.221820288398545,-20.74735053100185,31.0823032457105,-4.202011273622318,-1.772469252774105,-2.53283214199312,-680.0158364387156,-326.54117110081444,1409,-0.986565898893794,8,,,-840.7835137648282,2.0,2.0,180,"(450, 570)"
1503,-531.0293986435729,-0.35331297314941645,0.43039652915071924,0.5588822355289421,2.2759485598519884,-3.6845040556851334,0.6177082520346896,0.7826167899082039,0.14228978610378273,5.282351654152031,-19.355664856797013,31.0823032457105,-3.570953614096078,-1.6045453181479408,-2.400746423649139,-539.5159024952031,-265.90224952505315,1233,-0.9842701506806864,8,,,-695.4313148979057,2.0,2.0,180,"(480, 570)"
2071,-842.8010072724769,-0.40695364909342197,0.3873189963473105,0.5504587155963303,2.1819813271602237,-3.5770781098121724,0.6099898465104517,0.7469263426658592,-0.11666907131621615,6.050840527863906,-23.063242883154295,31.0823032457105,-4.968932699577713,-2.0367929219560748,-2.7378048418141065,-854.6780360806133,-453.2593152937907,1558,-0.9861035052888699,9,,,-1009.2472339018666,2.0,2.0,240,"(420, 570)"
1786,-695.5257184163731,-0.38943209317826044,0.43797006908359704,0.5599104143337066,2.1948189531926845,-3.6772832972125418,0.5968588155436388,0.759362360742543,0.16026032418043895,7.02215550367211,-20.74735053100185,31.0823032457105,-4.326187249581343,-1.8255733904604228,-2.589700481307928,-706.285294656243,-339.4339052680546,1409,-0.9847659631012257,8,,,-865.4287972430394,2.0,2.0,240,"(450, 570)"
1503,-559.1060740180515,-0.3719933958869271,0.42899739460394626,0.5588822355289421,2.279095052241584,-3.730838488538435,0.6108801169611673,0.773965759045823,0.11671419452969496,5.10463191678892,-19.355664856797013,31.0823032457105,-3.7281941592284453,-1.675233148791874,-2.491935359237169,-569.2167526089991,-279.09394785795655,1233,-0.982237559691283,8,,,-723.5079902723841,2.0,2.0,240,"(480, 570)"
1392,-541.5789345859549,-0.3890653265703699,-1.332349050241398,0.3505747126436782,2.8073777829930213,-2.1145788635913156,1.3276297381621813,0.716685079892859,1.394336805226353,4.699480899518598,-11.80762144157709,18.14799999999982,-4.962254796471343,-2.522627272413551,-4.782079982556218,-553.1211907031973,-272.5904424011255,990,-0.9791325005961871,18,,,-677.3558373883908,2.5,1.0,120,"(420, 570)"
1193,-381.9481554002801,-0.32015771617793803,-1.3343412492045919,0.35456831517183574,2.9748381684875276,-2.130265845026629,1.3964633453766615,0.7671480455770492,1.5219232026263059,4.751789653155143,-9.91608335445094,18.14799999999982,-3.6210368606776178,-1.964830976403319,-4.143393617413006,-386.0352567989744,-162.52748644645362,871,-0.9894126214465919,18,,,-523.6522490924682,2.5,1.0,120,"(450, 570)"
975,-244.8949658283745,-0.25117432392653793,-1.3373803534260351,0.3641025641025641,3.0769015302688882,-2.156766143667467,1.4266273324546812,0.8168591984216319,1.5478818563695078,4.761801142983099,-9.91608335445094,18.14799999999982,-2.5081606911201657,-1.471663458022579,-3.287402575828211,-251.1103685112603,-112.70931699324399,746,-0.9752483231985425,14,,,-385.7585473274563,2.5,1.0,120,"(480, 570)"
1392,-538.4155425736363,-0.38679277483738245,-1.3519999999999546,0.3448275862068966,2.950815026289675,-2.143428459641097,1.3766799694279368,0.7245684049620721,1.9185581943301382,10.783912473310219,-11.80762144157709,31.0823032457105,-4.708756244587107,-2.3902438215607997,-4.8009223098644505,-549.9577986908778,-261.61880758740386,990,-0.9790124694209074,18,,,-687.3470736413774,2.5,1.0,180,"(420, 570)"
1193,-381.12225871669835,-0.31946543060913524,-1.3519999999999546,0.3503772003352892,3.0583631489491214,-2.1413136193257176,1.4282649310903721,0.7703416015429363,2.0458589037663373,11.112160612892716,-9.91608335445094,31.0823032457105,-3.4974770781515137,-1.8948262418564819,-4.153270528441594,-385.2093601153927,-157.2463310929913,871,-0.9893899218921667,18,,,-535.7606556545971,2.5,1.0,180,"(450, 570)"
975,-253.42948514764447,-0.25992767707450715,-1.3519999999999546,0.35794871794871796,3.1482703337855775,-2.160025290157845,1.457515496753983,0.8125765309379235,2.147876954254814,11.83464000391901,-9.91608335445094,31.0823032457105,-2.5099523911749895,-1.4712198504949332,-3.405439336352444,-260.27833261638176,-109.3724973568817,746,-0.9736864478887248,14,,,-407.22736989243697,2.5,1.0,180,"(480, 570)"
1392,-540.2702174465365,-0.3881251562115923,-1.3519999999999546,0.3448275862068966,2.965913936668096,-2.1534088893061654,1.3773110863416758,0.7249005717587768,1.9041757239453454,10.646922523663903,-11.80762144157709,31.0823032457105,-4.7120463821034635,-2.391147645014656,-4.796597850386296,-551.8124735637775,-259.2111001395532,990,-0.9790830097719759,18,,,-689.2017485142776,2.5,1.0,240,"(420, 570)"
1193,-386.8529512156293,-0.3242690286803263,-1.3519999999999546,0.3503772003352892,3.0620264011357126,-2.1506838540520734,1.423745473034817,0.7679040099723271,2.03756132221206,11.032287792153783,-9.91608335445094,31.0823032457105,-3.5438036825144743,-1.919342879589111,-4.188527941629305,-390.9400526143237,-156.74171202932294,871,-0.9895454523747024,18,,,-541.4913481535281,2.5,1.0,240,"(450, 570)"
975,-259.1601776465754,-0.265805310406744,-1.3519999999999546,0.35794871794871796,3.152657839269803,-2.1716258203701866,1.4517500251182245,0.8093622344508952,2.1373434834989147,11.734682538836658,-9.91608335445094,31.0823032457105,-2.5613515067212727,-1.5016555202538298,-3.4703882710186464,-266.00902511531274,-108.93135015555566,746,-0.9742533266840551,14,,,-412.9580623913679,2.5,1.0,240,"(480, 570)"
1283,-379.22248000164774,-0.2955748090425937,-1.2520000000000455,0.4528448947778644,2.664778951992243,-2.745668163973135,0.9705393342712468,0.8032526399025561,0.799196625774028,3.5223866294943225,-17.435432162365693,18.14799999999982,-3.1181856403544814,-1.585062065509304,-2.7562262944153564,-391.3807508736388,-198.82054141968442,982,-0.9689349288516347,12,,,-530.5961504770178,2.5,1.5,120,"(420, 570)"
1100,-261.41692987732495,-0.23765175443393177,-1.3101462654926554,0.45545454545454545,2.817258501785541,-2.7927603326742583,1.0087720270245402,0.8437308606666021,1.0053149779812114,3.2573415794544904,-13.205633669761802,18.14799999999982,-2.238994736275949,-1.2158659887249206,-2.3719548715373673,-267.0137037791982,-115.76429761214116,863,-0.9790393757973507,14,,,-416.264356192302,2.5,1.5,120,"(450, 570)"
905,-100.66676800804781,-0.11123399779894785,-1.23694414539623,0.4718232044198895,2.9483551781546624,-2.844381650795165,1.036554000174495,0.92595932651571,0.9892078786228025,3.0934735061392544,-13.205633669761802,18.14799999999982,-0.9249274202957646,-0.5483916476766698,-1.1148970040571333,-180.1981468969545,-76.87750583339387,371,-0.5586448570173965,11,,,-254.66600104737824,2.5,1.5,120,"(480, 570)"
