candidate,instrument,split,t_entry,side,mae,mfe,pnl_pts
M2-CTX,SPX500,TRAIN,2006-02-07 15:41:00+00:00,1,1.7000000000000455,3.7999999999999545,2.8169171558804464
M2-CTX,SPX500,TRAIN,2006-02-08 17:06:00+00:00,-1,3.7000000000000455,2.2000000000000455,-3.1470906014126285
M2-CTX,SPX500,TRAIN,2006-02-10 15:25:00+00:00,1,4.400000000000091,1.0,-3.957733771607309
M2-CTX,SPX500,TRAIN,2006-02-15 15:14:00+00:00,-1,3.2999999999999545,0.5,-2.7917379706225347
M2-CTX,SPX500,TRAIN,2006-02-27 15:01:00+00:00,-1,0.20000000000004547,2.2999999999999545,1.901638664157872
M2-CTX,SPX500,TRAIN,2006-02-28 15:36:00+00:00,1,3.900000000000091,1.7999999999999545,-2.400000000000091
M2-CTX,SPX500,TRAIN,2006-03-03 17:29:00+00:00,-1,5.2999999999999545,1.2000000000000455,-5.22296321640124
M2-CTX,SPX500,TRAIN,2006-03-06 14:41:00+00:00,1,1.2999999999999545,2.2000000000000455,1.7081340512502265
M2-CTX,SPX500,TRAIN,2006-03-09 18:01:00+00:00,1,3.7999999999999545,0.20000000000004547,-3.53301069736699
M2-CTX,SPX500,TRAIN,2006-03-10 15:26:00+00:00,-1,4.5,1.5,-4.3033335109803375
M2-CTX,SPX500,TRAIN,2006-03-13 18:17:00+00:00,1,0.20000000000004547,3.2999999999999545,3.081021877424064
M2-CTX,SPX500,TRAIN,2006-03-15 16:55:00+00:00,1,0.5,2.0,2.0
M2-CTX,SPX500,TRAIN,2006-03-17 17:41:00+00:00,-1,0.0,2.5,2.4776507460974244
M2-CTX,SPX500,TRAIN,2006-03-21 16:58:00+00:00,-1,1.7000000000000455,4.7999999999999545,4.255542421719383
M2-CTX,SPX500,TRAIN,2006-03-22 15:20:00+00:00,-1,1.199999999999818,2.5,2.3982892836834253
M2-CTX,SPX500,TRAIN,2006-03-23 15:32:00+00:00,1,2.0,2.2000000000000455,2.2000000000000455
M2-CTX,SPX500,TRAIN,2006-03-24 14:50:00+00:00,1,1.300000000000182,1.199999999999818,0.9162942388868487
M2-CTX,SPX500,TRAIN,2006-03-29 16:11:00+00:00,-1,2.7999999999999545,0.20000000000004547,-2.646355717116421
M2-CTX,SPX500,TRAIN,2006-03-30 14:54:00+00:00,-1,2.7999999999999545,2.5,2.241234204205057
M2-CTX,SPX500,TRAIN,2006-04-03 14:46:00+00:00,-1,1.5,3.5,3.3493917294663333
M2-CTX,SPX500,TRAIN,2006-04-10 15:30:00+00:00,-1,1.5,1.7999999999999545,1.795722969562803
M2-CTX,SPX500,TRAIN,2006-04-11 14:32:00+00:00,1,4.5,1.7000000000000455,-2.2000000000000455
M2-CTX,SPX500,TRAIN,2006-04-17 14:21:00+00:00,-1,0.20000000000004547,2.0,1.9229080867864923
M2-CTX,SPX500,TRAIN,2006-04-17 16:36:00+00:00,1,3.0,0.5,-2.605294670182275
M2-CTX,SPX500,TRAIN,2006-04-17 17:21:00+00:00,1,4.5,2.5,2.284189797692534
M2-CTX,SPX500,TRAIN,2006-04-19 14:34:00+00:00,1,0.2999999999999545,4.2000000000000455,4.027440099329851
M2-CTX,SPX500,TRAIN,2006-04-25 14:26:00+00:00,1,1.0,4.5,4.158355645833353
M2-CTX,SPX500,TRAIN,2006-04-26 13:58:00+00:00,-1,0.0,4.0,3.355660553307189
M2-CTX,SPX500,TRAIN,2006-05-04 13:35:00+00:00,-1,2.699999999999818,1.7000000000000455,0.9337079907252246
